1	10		0.00018	0.00012	0.00019	0.00029	0.00014	0.00015	0.00011	0.00024	0.00012	0.00013		0.000167	5.88878E-05	2.33398E-07
1	20		0.00615	0.00656	0.00688	0.00686	0.00644	0.0067	0.00631	0.00655	0.00615	0.00606		0.006466	0.00029568	1.17191E-06
1	30		0.03459	0.03267	0.03481	0.03364	0.03225	0.03298	0.03404	0.0334	0.03349	0.0342		0.033607	0.00082481	3.26908E-06
1	40		0.07778	0.07395	0.07445	0.07722	0.07753	0.07604	0.0775	0.0782	0.07824	0.07869		0.07696	0.00162385	6.43602E-06
1	50		0.12507	0.12437	0.12542	0.12498	0.12266	0.1238	0.1234	0.12355	0.12302	0.12375		0.124002	0.000923734	3.66116E-06
1	60		0.16995	0.16939	0.16981	0.16937	0.16784	0.16973	0.17168	0.16795	0.16982	0.17316		0.16987	0.001578325	6.25558E-06
1	70		0.21527	0.21345	0.21055	0.21134	0.21193	0.20699	0.21129	0.20997	0.20935	0.20977		0.210991	0.002282253	9.04555E-06
1	80		0.25115	0.24991	0.24587	0.24665	0.24688	0.24943	0.24426	0.24822	0.25114	0.24869		0.24822	0.002288061	9.06857E-06
1	90		0.28164	0.28363	0.27759	0.28224	0.27726	0.28383	0.28601	0.28826	0.28054	0.28516		0.282616	0.003522926	1.39629E-05
1	100		0.31372	0.315	0.31263	0.31387	0.30892	0.31254	0.31131	0.31435	0.31596	0.31539		0.313369	0.002109789	8.362E-06
																
2	10		0	0	0	0	0	0	0	0	0	0		0	0	#NUM!
2	20		0	0	0	0	0	0	0	0	0	0		0	0	#NUM!
2	30		0	0.00005	0.00001	0	0	0.00001	0.00004	0.00002	0	0.00001		0.000014	1.77639E-05	7.04059E-08
2	40		0.00034	0.00022	0.00044	0.0002	0.00023	0.00023	0.00027	0.0002	0.00028	0.0002		0.000261	7.7093E-05	3.05553E-07
2	50		0.00126	0.00168	0.00198	0.00189	0.00188	0.00212	0.00187	0.00181	0.00178	0.0016		0.001787	0.000235469	9.33264E-07
2	60		0.00672	0.0064	0.00545	0.00669	0.00739	0.00658	0.00728	0.00682	0.00666	0.00641		0.00664	0.000531664	2.10721E-06
2	70		0.0167	0.01697	0.01716	0.01578	0.017	0.01766	0.01686	0.01622	0.01761	0.01916		0.017112	0.000917773	3.63753E-06
2	80		0.03079	0.03309	0.03095	0.03198	0.02967	0.03228	0.03184	0.03294	0.02987	0.03191		0.031532	0.001179753	4.67587E-06
2	90		0.04963	0.05176	0.05202	0.05133	0.04889	0.04829	0.04971	0.04939	0.05018	0.0506		0.05018	0.001236689	4.90153E-06
2	100		0.07098	0.07182	0.06851	0.06996	0.06913	0.07172	0.06886	0.0707	0.07229	0.07046		0.070443	0.001312022	5.20011E-06
4	10		0	0	0	0	0	0	0	0	0	0		0	0	#NUM!
4	20		0	0	0	0	0	0	0	0	0	0		0	0	#NUM!
4	30		0	0	0	0	0	0	0	0	0	0		0	0	#NUM!
4	40		0	0	0	0	0	0	0	0	0	0		0	0	#NUM!
4	50		0	0	0	0	0	0	0	0	0	0		0	0	#NUM!
4	60		0	0	0	0	0	0	0	0	0	0		0	0	#NUM!
4	70		0	0	0	0	0	0	0	0	0	0		0	0	#NUM!
4	80		0	0	0	0	0	0	0	0	0	0		0	0	#NUM!
4	90		0.00002	0	0	0	0	0	0	0	0.00002	0		0.000004	8.43274E-06	3.34226E-08
4	100		0.00003	0	0.00003	0.00002	0.00003	0.00004	0	0.00001	0.00001	0.00003		0.00002	1.41421E-05	5.60514E-08
